,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_Light absorbing particles on snow and ice,fscale_CO2,cc_co2_concentration_1750,seed
4520,12.019624362091886,4.794564181634792,13.564613801896815,172.65920558664985,1.5647356621415514,2.434008369727463,1.4870780096037628,1.2587033459086647,1.1922467983556198,0.6571926177303123,10.029335970316575,39.726903858968775,-0.0042048775008474,1.6274256918288326,0.0042359038336894,0.0086723277399873,-0.0032830494516866,-0.0030466084511452,-8.754564741825639e-05,-2.903568213633741e-05,-0.0005103555455382,-2.3342284326903905e-06,-2.0040072043052315e-05,-8.436549180379204e-06,0.0003679179232673,9.576969341156952e-73,0.0024807327086525,-10.139506821248242,0.0002397968360808,0.0010946657025227,-2.301670968520617e-05,0.0001413046955987,-0.0002752127513513,0.0004020191759526,0.9155467315873568,1.0356893541498766,1.115684570331335,1.2590855532583105,1.690315860457689,0.8208020543066876,1.3939544846664649,2.3586955943804826,1.160840739784803,278.070119443736,3159243
6333,6.128743995097281,5.397331805131219,18.34477916122916,80.42331920191222,0.9510862891223906,1.0819324289088372,0.8716824924089313,1.0805368717146089,0.9070794673185782,0.2910964805554945,6.368050413091123,36.558426243162224,0.0008459197043266,-1.0544841555138378,0.0052482175819089,0.0181124748955189,-0.0076511651372089,-0.0047629631153413,-4.4338786052330846e-05,-3.422306128710061e-06,-0.0005530948735182,-7.910935803985656e-07,-5.876998921120448e-05,-7.49449100460641e-06,2.823680006542996e-07,0.1884809100445634,5.681153044896523e-07,-2.2104282494268657,0.0002332470617459,0.0016537541853352,-1.878515787140233e-05,2.518182315556727e-05,0.0003257629525829,0.0010528435192644,1.164823706612919,1.003637125886693,1.182561099471833,1.2157998648603638,1.3086731583444688,1.065751868511822,0.5543972394479186,1.8690155742030123,0.8932072924077804,275.0581556197078,3882630
7256,11.97895262610014,5.274331336030775,7.025538481571269,71.57509933103333,1.4258187722128388,2.4207799264649337,1.267870339635741,1.2789252191116611,1.0132246965060578,0.7378401569597635,9.581240277808616,30.85447770331477,0.006508589576688,1.7235374966385495,0.0001404735639113,0.0351417209850085,-0.0028839059843506,-0.0025166021522652,-5.7447312443704936e-05,-2.2983342907428777e-05,-0.0006430223525195,-2.011386197665729e-06,-1.931723458042142e-05,-6.113789878034962e-06,0.0345079744378385,1.3193935986579447e-38,7.726642944115387e-12,-0.7844210420399832,0.0002480520849915,0.0015101594793,-6.524346955163776e-05,8.948501407625493e-05,0.0003499505610943,0.0012113913351898,1.2292056942273863,0.8312020094327386,0.9771091141490018,1.3379429493045925,1.0407785917145418,1.0711037587369965,1.0348429663658796,0.7676401669942012,1.128704394495888,280.8409467663224,4250907
7485,6.113016168103533,3.4378007201709813,7.94873185338231,150.88427796231807,2.153853149205208,4.361908336716838,1.0181660291985066,1.180901667950827,1.470317373366671,0.4777942149464015,9.91929436984022,32.714306731734034,0.0034667722349062,4.9739511991993375,0.0001497288552588,0.0162602259098612,-0.0034187102885962,-0.0030833586216423,-8.430953895889749e-05,-2.402676711630565e-05,-0.0005758804584997,-2.4913254828761388e-06,-3.028573020191193e-05,-7.633098213263922e-06,0.190954355586472,1.1315116836035198e-46,0.3275696153585303,-0.4632993238322721,0.0002642403358629,0.0010255010652609,3.378133125954946e-05,3.964194944052388e-05,-0.0002498151383318,0.0013617073635242,1.06831402871341,1.0850415423262438,1.0930385996769507,0.7656700900650841,1.145891839966167,1.1147946907198865,1.1452877553721523,1.0875428916149352,1.1546193559182625,278.3605751600024,4342278
8159,3.245057068338953,3.930272309953824,29.99338348143273,140.0623632766572,1.1463410758050352,1.9947949664954687,0.3491995463574467,1.16028042311246,0.1566085712842478,0.3385347175031545,8.422545490748881,28.85989175003415,0.008779281624269,5.461391892502231,-0.0026953742162791,-0.0051912345158057,-0.0027358887609759,-0.0045392219153498,-6.424188889393349e-05,-3.4794639517886976e-05,-0.0004921329341819,-1.6514709976837448e-06,-4.305614542835591e-05,-7.7013171365071e-06,0.0003474042504759,1.6572782039110212e-72,0.0001429065862183,-21.83987365639495,0.0003012636878407,0.0006242788975255,-4.058883273465254e-05,2.104008496262377e-05,0.0002892013179932,0.0007877478201564,0.9742973150292116,1.0436759235716055,0.9258780088858348,1.253848622338793,0.8708628942901198,0.8608332814226084,0.6696735490402314,0.3528560195288588,1.045894466739825,277.97732037479966,4611204
10422,3.653306220562799,2.419294894651908,6.047897819615406,102.524200870232,2.209275628894773,3.3532574437304814,1.4441874866197772,1.2481351834603824,1.2627906003403182,0.406786958665129,9.354092010789048,33.652378472860896,0.0030376955391754,3.559910243059627,0.0011858508619762,0.0374463011429982,-0.0046280030845652,-0.0031057968670454,-5.171961228556651e-05,-2.542483417084744e-05,-0.0005311223988105,-4.319971253195017e-06,-4.015202455453115e-05,-6.304068138321363e-06,0.0001383598770911,4.863990379784535e-67,0.0011299671302073,-19.644193687284503,0.0002453753743159,0.0014316523862963,-0.0001535017112054,0.0001933092316455,2.879254247994589e-05,0.0007637143819181,1.1254463334694411,1.0205639042426766,1.1688851532979967,0.6074014274421212,1.3848186417815336,1.0362187869335593,0.5107280695055282,1.3233702362070174,1.1116380811604876,277.3782878592334,5514141
11080,3.615271921843122,4.658930467968837,15.26248691242888,61.71139723576727,0.9361933290131776,3.7360342821312855,0.7356446152076128,1.4063713583081834,0.401954247673899,0.4437597941213111,8.335980598353201,33.79350766119824,0.0016598762996515,3.941174286304656,0.0014582434234288,0.0280530671869274,-0.0024507091452222,-0.0052059460463301,-6.709826453868352e-05,-2.952654394341821e-05,-0.0004712093916468,-1.8263427719878795e-06,-3.333928392928648e-05,-6.319602899759529e-06,0.0082476008256439,1.411217724529412e-33,0.0021461673373889,-1.2017751284481648,0.0002094464245907,0.0013214683678483,-0.0001322974933655,6.473325790924835e-05,0.0003313514972563,0.0010012491002385,0.9874613707777008,1.0813995904576554,0.8638940871977461,0.4912426816396587,0.6839808422758409,1.1047838782725905,0.9889632883174724,1.386086042948317,1.0392977106467038,278.1091819507804,5776683
15271,3.455440159976346,4.558738778467868,21.521383315202296,30.29532327350175,1.2122397717672706,2.872205744578084,1.260680999215277,1.6002889885099596,0.4207884150610023,0.3123318473213097,7.716352161642427,41.241470144673706,-0.0051947062396383,-0.7213473850351191,0.0053474711302014,0.0259705188983806,-0.0037092127850797,-0.0030847682507508,-6.923115944550129e-05,-9.807684964688526e-06,-0.0005854124064349,-2.249557966185558e-06,-6.296389793346658e-05,-6.71084455330593e-06,0.0003475132336579,6.937313102842944e-71,0.0002959938357963,-22.55178278001079,0.0002312128901576,0.0014015256810281,-5.842220533052483e-05,0.0001892833065212,-0.0001601977037865,0.0002334204150347,0.8256798089398536,0.9494535209379864,0.9564964094408946,1.7320779529994792,1.260075449626181,0.9735358865892284,1.3872763710922134,1.9722589481807025,0.9962905003906756,279.79415565165044,7448892
22131,9.421139664136495,4.773423490903888,17.00716211779374,101.05488495176336,1.7030973987792275,3.1045394540006948,1.7217298894011774,1.5314056922256234,1.1838996828898014,0.5657812470472106,8.562108441721154,36.989243003766674,-2.4051261783605292e-05,1.9405627578245608,0.0028945271194892,0.0131069068858988,-0.0034474461755478,-0.0031252453838877,-8.285298019459328e-05,-1.801198172218116e-05,-0.0005843146135554,-3.009036906390988e-06,-5.0831604345971286e-05,-6.938428991720725e-06,0.0059224447591574,0.1091099534642358,0.0389796977864244,-0.980802516634261,0.0002796885584887,0.0016026730181772,-4.695773024505508e-05,2.101902875952476e-05,-0.0002924570884146,0.0023114859992846,1.2178221406428067,0.8599026812414602,1.0027547706521118,0.894121496663079,1.3458148035164053,0.950970648019231,0.9762222799844554,1.9400687577859137,1.0560906864830852,276.3175531689728,10186032
27694,3.0996832630083864,4.1636289366506745,9.881803982202086,157.741326158906,1.4865858678071964,2.87201687412266,1.1277364071642304,1.207952673391436,0.7289422664280077,0.5736091706872427,7.729714675817039,38.98646259278758,-0.0046830550878136,1.842670489987196,0.0042184695178157,0.0269690660791548,-0.0036815388964808,-0.0045218340579669,-5.672870897988305e-05,-2.034665995913011e-05,-0.000533337701983,-3.522180420887422e-06,-1.948642839037572e-05,-6.769129298186081e-06,1.0535602046387611e-06,2.294267197650984e-07,6.427920146432263e-06,-2805.6582492761977,0.0002067976042175,0.001477514383698,-1.1958434618646156e-05,0.0001040337161299,-0.0001351147622645,0.0005127805634686,1.1439266271766293,1.1386427526198268,1.1325094235758577,1.0597969093890536,0.8963467479749021,0.7685544746245155,0.6405577487563656,1.106856967457543,0.9974582701314604,280.37990985218033,12405669
