Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00801711183541031,-0.10987507193294
2016,0.0102948369824789,-0.156720346679829
2017,0.0125725621295475,-0.203459042191587
2018,0.0148502872766162,-0.250091400950159
2019,0.0171280124236848,-0.29661766488581
2020,0.0194057375707534,-0.343038075378386
2021,0.021683462717822,-0.389352873258556
2022,0.0239611878648906,-0.435562298809073
2023,0.0262389130119593,-0.481666591766008
2024,0.0285166381590279,-0.527665991320009
2025,0.0297504059470308,-0.552538620549324
2026,0.0297504059470308,-0.552538620549324
2027,0.0297504059470308,-0.552538620549324
2028,0.0297504059470308,-0.552538620549324
2029,0.0297504059470308,-0.552538620549324
2030,0.0297504059470308,-0.552538620549324
2031,0.0297504059470308,-0.552538620549324
2032,0.0297504059470308,-0.552538620549324
2033,0.0297504059470308,-0.552538620549324
2034,0.0297504059470308,-0.552538620549324
2035,0.0297504059470308,-0.552538620549324
2036,0.0297504059470308,-0.552538620549324
2037,0.0297504059470308,-0.552538620549324
2038,0.0297504059470308,-0.552538620549324
2039,0.0297504059470308,-0.552538620549324
2040,0.0297504059470308,-0.552538620549324
2041,0.0297504059470308,-0.552538620549324
2042,0.0297504059470308,-0.552538620549324
2043,0.0297504059470308,-0.552538620549324
2044,0.0297504059470308,-0.552538620549324
2045,0.0297504059470308,-0.552538620549324
2046,0.0297504059470308,-0.552538620549324
2047,0.0297504059470308,-0.552538620549324
2048,0.0297504059470308,-0.552538620549324
2049,0.0297504059470308,-0.552538620549324
2050,0.0297504059470308,-0.552538620549324
2051,0.0297504059470308,-0.552538620549324
2052,0.0297504059470308,-0.552538620549324
2053,0.0297504059470308,-0.552538620549324
2054,0.0297504059470308,-0.552538620549324
2055,0.0297504059470308,-0.552538620549324
2056,0.0297504059470308,-0.552538620549324
2057,0.0297504059470308,-0.552538620549324
2058,0.0297504059470308,-0.552538620549324
2059,0.0297504059470308,-0.552538620549324
2060,0.0297504059470308,-0.552538620549324
2061,0.0297504059470308,-0.552538620549324
2062,0.0297504059470308,-0.552538620549324
2063,0.0297504059470308,-0.552538620549324
2064,0.0297504059470308,-0.552538620549324
2065,0.0297504059470308,-0.552538620549324
2066,0.0297504059470308,-0.552538620549324
2067,0.0297504059470308,-0.552538620549324
2068,0.0297504059470308,-0.552538620549324
2069,0.0297504059470308,-0.552538620549324
2070,0.0297504059470308,-0.552538620549324
2071,0.0297504059470308,-0.552538620549324
2072,0.0297504059470308,-0.552538620549324
2073,0.0297504059470308,-0.552538620549324
2074,0.0297504059470308,-0.552538620549324
2075,0.0297504059470308,-0.552538620549324
2076,0.0297504059470308,-0.552538620549324
2077,0.0297504059470308,-0.552538620549324
2078,0.0297504059470308,-0.552538620549324
2079,0.0297504059470308,-0.552538620549324
2080,0.0297504059470308,-0.552538620549324
2081,0.0297504059470308,-0.552538620549324
2082,0.0297504059470308,-0.552538620549324
2083,0.0297504059470308,-0.552538620549324
2084,0.0297504059470308,-0.552538620549324
2085,0.0297504059470308,-0.552538620549324
2086,0.0297504059470308,-0.552538620549324
2087,0.0297504059470308,-0.552538620549324
2088,0.0297504059470308,-0.552538620549324
2089,0.0297504059470308,-0.552538620549324
2090,0.0297504059470308,-0.552538620549324
2091,0.0297504059470308,-0.552538620549324
2092,0.0297504059470308,-0.552538620549324
2093,0.0297504059470308,-0.552538620549324
2094,0.0297504059470308,-0.552538620549324
2095,0.0297504059470308,-0.552538620549324
2096,0.0297504059470308,-0.552538620549324
2097,0.0297504059470308,-0.552538620549324
2098,0.0297504059470308,-0.552538620549324
2099,0.0297504059470308,-0.552538620549324
2100,0.0297504059470308,-0.552538620549324
