Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00382639033385881,-0.004385755511138
2016,0.00392237563040835,-0.00637213484854091
2017,0.00433480338076003,-0.0149050015191278
2018,0.00558097535410813,-0.0406661324387989
2019,0.00503100491362767,-0.0293009845303874
2020,0.00501051599960623,-0.028877460016734
2021,0.00502164741167486,-0.0291075575189903
2022,0.00541297419187949,-0.0371950487732987
2023,0.00453727227216149,-0.0190926658218219
2024,0.00413749245873797,-0.010823203674457
2025,0.00390267867707761,-0.00596452941195827
2026,0.00916168295839262,-0.114508882771327
2027,0.018260321375238,-0.300959314274147
2028,0.0100139133414447,-0.132044990288297
2029,0.00676448569542345,-0.0651022046913441
2030,0.070951087912796,-1.34797417106866
2031,0.0570514064501325,-1.07710906800325
2032,0.0215021740246135,-0.366982921139952
2033,0.00868772753874436,-0.104749965226946
2034,0.00579841406303091,-0.0451577829751229
2035,0.00555771386676358,-0.0401855600160989
2036,0.00677025157607891,-0.0652211827063626
2037,0.00824318692054828,-0.0955925047638248
2038,0.00806812506369743,-0.0919851431819016
2039,0.00868192600813486,-0.104630480906865
2040,0.00570999197950387,-0.0433313580444109
2041,0.00425542700142281,-0.013263028405823
2042,0.0041381060724802,-0.0108358988337598
2043,0.00440183308724391,-0.0162914708976287
2044,0.00411559006749785,-0.0103700562673396
2045,0.0040248070455385,-0.00849170387786496
2046,0.00466028719639836,-0.0216365695984143
2047,0.00494739460616529,-0.0275726287770707
2048,0.0046649028710368,-0.0217320139757928
2049,0.00439795283910456,-0.0162112128203835
2050,0.00447915457594505,-0.0178907042046131
2051,0.00467560421680353,-0.0219532980873488
2052,0.00674003827049488,-0.0645977284100372
2053,0.00593865395679764,-0.0480542127511564
2054,0.00565014043710211,-0.0420949875663389
2055,0.00467136718897051,-0.0218656844423291
2056,0.00395749852876294,-0.00709894227277025
2057,0.00382922342485379,-0.00444438798643402
2058,0.00400072987538008,-0.00799350491419816
2059,0.00463033335839181,-0.0210171639732366
2060,0.00405561016132112,-0.00912905698734599
2061,0.00420520931526746,-0.012224162256497
2062,0.00461418369543585,-0.0206832026734894
2063,0.00710379450469966,-0.0721026195734236
2064,0.00514352618340649,-0.0316267469794992
2065,0.00412644704418149,-0.0105946818778533
2066,0.00388212991400938,-0.00553928821107252
2067,0.00403291929617871,-0.00865955789844781
2068,0.00448184986236823,-0.0179464483378776
2069,0.00749477109238277,-0.080166068089791
2070,0.00583953904963233,-0.0460071956183914
2071,0.00495371042838664,-0.0277031917409255
2072,0.00618501558303837,-0.0531414330266798
2073,0.0113184493679257,-0.158859134778029
2074,0.00933636893402809,-0.118104565304277
2075,0.00592932724837727,-0.0478615971762527
2076,0.00496204865279851,-0.0278755612721932
2077,0.00448269867265474,-0.0179640034702274
2078,0.00399909601518395,-0.00795969704078767
2079,0.0038470187947044,-0.00481266977594905
2080,0.00401897100242307,-0.00837094699095393
2081,0.00581779866186753,-0.0455581649248983
2082,0.00632495018962755,-0.0560304409167452
2083,0.0128639057408362,-0.19058005387314
2084,0.0177130940527281,-0.289793346975376
2085,0.0113396125957601,-0.159293847022166
2086,0.0132886545959516,-0.199289556707719
2087,0.00778879304016202,-0.0862278606316402
2088,0.00747951784241501,-0.0798515462097987
2089,0.00600966160890062,-0.049520606869649
2090,0.00522771081518184,-0.0333666331343348
2091,0.00536976879894112,-0.0363022848802027
2092,0.00527384621422471,-0.0343200745177188
2093,0.00462291173392007,-0.0208636917586653
2094,0.00424486951509338,-0.013044627310164
2095,0.00382321375304637,-0.004320014115611
2096,0.00372232201065455,-0.00223188556616003
2097,0.0039412872104438,-0.0067634803476431
2098,0.0040476920804608,-0.00896522434953003
2099,0.00454529053016638,-0.0192584900077931
2100,0.00406993257195804,-0.00942539801526224
